GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
examen,ar.com.plug.examen.domain.model,Client_,3,0,0,0,1,0,1,0,1,0
examen,ar.com.plug.examen.domain.model,Seller,15,41,0,0,7,11,2,8,2,8
examen,ar.com.plug.examen.domain.model,Message,4,9,0,0,2,4,1,2,1,2
examen,ar.com.plug.examen.domain.model,Transaction,0,113,0,0,0,32,0,15,0,15
examen,ar.com.plug.examen.domain.model,Product_,3,0,0,0,1,0,1,0,1,0
examen,ar.com.plug.examen.domain.model,Product,0,65,0,0,0,19,0,11,0,11
examen,ar.com.plug.examen.domain.model,Client,9,41,0,0,4,11,1,8,1,8
examen,ar.com.plug.examen.domain.model,Seller_,3,0,0,0,1,0,1,0,1,0
examen,ar.com.plug.examen.domain.model,Transaction_,3,0,0,0,1,0,1,0,1,0
examen,ar.com.plug.examen.domain.model,Transaction.Builder,0,60,0,0,0,16,0,9,0,9
examen,ar.com.plug.examen.domain.model,TransactionDetail_,3,0,0,0,1,0,1,0,1,0
examen,ar.com.plug.examen.domain.model,TransactionDetail,3,40,0,0,1,17,1,9,1,9
examen,ar.com.plug.examen.domain.repository.specification,TransactionSpecification,66,69,12,8,7,18,11,12,1,12
examen,ar.com.plug.examen,Application,5,3,0,0,2,1,1,1,1,1
examen,ar.com.plug.examen.domain.service.impl,ConverterServiceImpl,5,42,0,0,0,9,1,4,1,4
examen,ar.com.plug.examen.domain.service.impl,TransactionServiceImpl,24,409,2,2,6,72,4,10,2,10
examen,ar.com.plug.examen.domain.service.impl,ProductServiceImpl,10,222,2,2,4,34,2,7,0,7
examen,ar.com.plug.examen.domain.service.impl,ProcessMessageServiceImpl,0,8,0,0,0,2,0,2,0,2
examen,ar.com.plug.examen.domain.service.impl,ValidatorsServiceImpl,0,120,0,12,0,23,0,9,0,3
examen,ar.com.plug.examen.domain.service.impl,SellerServiceImpl,10,222,2,2,4,34,2,7,0,7
examen,ar.com.plug.examen.domain.service.impl,ClientServiceImpl,10,214,2,2,4,33,2,7,0,7
examen,ar.com.plug.examen.domain.enums,StatusEnum,0,34,0,0,0,4,0,1,0,1
examen,ar.com.plug.examen.domain.exception,NotFoundException,25,0,0,0,6,0,3,0,3,0
examen,ar.com.plug.examen.domain.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
examen,ar.com.plug.examen.app.api,MessageApi,10,0,0,0,4,0,3,0,3,0
examen,ar.com.plug.examen.app.api,TransactionApi,0,66,0,0,0,27,0,14,0,14
examen,ar.com.plug.examen.app.api,SellerApi,0,38,0,0,0,17,0,8,0,8
examen,ar.com.plug.examen.app.api,ClientApi,0,38,0,0,0,17,0,8,0,8
examen,ar.com.plug.examen.app.api,TransactionApi.Builder,10,53,0,0,4,13,2,7,2,7
examen,ar.com.plug.examen.app.api,TransactionDetailApi,23,36,0,0,1,15,1,8,1,8
examen,ar.com.plug.examen.app.api,ProductApi,0,45,0,0,0,19,0,9,0,9
examen,ar.com.plug.examen.app.rest,EchoController,10,6,0,0,1,3,1,1,1,1
examen,ar.com.plug.examen.app.rest,TransactionController,0,57,0,0,0,8,0,7,0,7
examen,ar.com.plug.examen.app.rest,SellerController,0,56,0,0,0,8,0,7,0,7
examen,ar.com.plug.examen.app.rest,ClientController,0,56,0,0,0,8,0,7,0,7
examen,ar.com.plug.examen.app.rest,ProductController,0,56,0,0,0,8,0,7,0,7
